Song Name,Artist Name,Debut Date,Peak Pos,Peak Weeks,Peak Date
CRY IF YOU WANT,The Who,09.25.82,34,12 Wks,10.09.82
IT's HARD,The Who,10.02.82,39,12 Wks,10.09.82
Daily Records,The Who,04.04.81,36,12 Wks,04.04.81
Did You Steal My Money,The Who,04.04.81,38,12 Wks,04.04.81
How Can You Do It Alone,The Who,04.11.81,50,12 Wks,04.11.81
You,The Who,04.04.81,51,12 Wks,04.04.81
TWILIGHT ZONE,Golden Earring,11.20.82,1,1 WKS,02.12.83
Quiet Eyes,Golden Earring,05.17.86,31,12 Wks,05.24.86
When The Lady Smiles,Golden Earring,03.31.84,9,12 Wks,03.31.84
Savior,Rise Against,09.12.09,18,12 Wks,04.10.10
Nowhere Generation,Rise Against,03.27.21,1,1 WKS,08.07.21
The Violence,Rise Against,05.13.17,2,12 Wks,08.26.17
Help Is On The Way,Rise Against,02.12.11,6,12 Wks,05.28.11
Make It Stop (September's Children),Rise Against,08.20.11,16,12 Wks,11.19.11
Satellite,Rise Against,12.31.11,17,12 Wks,03.24.12
Wait For Me,Rise Against,07.07.12,10,12 Wks,10.13.12
I Don't Want To Be Here Anymore,Rise Against,06.28.14,5,12 Wks,09.20.14
House On Fire,Rise Against,01.20.18,8,12 Wks,04.21.18
Re-Education (Through Labor),Rise Against,10.11.08,22,12 Wks,01.03.09
Talking To Ourselves,Rise Against,10.23.21,25,12 Wks,01.15.22
Tragedy + Time,Rise Against,11.29.14,28,12 Wks,01.17.15
Do Your Worst,Rival Sons,09.29.18,1,1 WKS,03.09.19
Too Bad,Rival Sons,05.04.19,13,12 Wks,08.17.19
Shooting Stars,Rival Sons,12.21.19,16,12 Wks,02.29.20
Nobody Wants To Die,Rival Sons,11.12.22,19,12 Wks,02.04.23
Keep On Swinging,Rival Sons,06.29.13,34,12 Wks,08.10.13
Smuggler's Blues,Glenn Frey,07.28.84,13,12 Wks,06.01.85
PARTY TOWN,Glenn Frey,06.19.82,5,12 Wks,08.07.82
The Heat Is On,Glenn Frey,01.05.85,4,12 Wks,02.02.85
You Belong To The City,Glenn Frey,09.21.85,1,3 WKS,10.19.85
"Part Of Me, Part Of You",Glenn Frey,04.27.91,9,12 Wks,06.01.91
True Love,Glenn Frey,08.20.88,15,12 Wks,09.17.88
I FOUND SOMEBODY,Glenn Frey,07.17.82,57,12 Wks,07.24.82
DON't GIVE UP,Glenn Frey,10.09.82,25,12 Wks,10.09.82
Don't You (Forget About Me),Simple Minds,02.23.85,1,3 WKS,04.20.85
Alive & Kicking,Simple Minds,10.19.85,2,12 Wks,12.07.85
All The Things She Said,Simple Minds,03.22.86,9,12 Wks,05.03.86
Sanctify Yourself,Simple Minds,12.28.85,3,12 Wks,02.15.86
See The Lights,Simple Minds,03.23.91,10,12 Wks,04.27.91
She's A River,Simple Minds,01.28.95,6,12 Wks,03.04.95
Stand By Love,Simple Minds,06.29.91,42,12 Wks,07.13.91
This Is Your Land,Simple Minds,05.13.89,37,12 Wks,05.20.89
And The Band Played On,Simple Minds,05.27.95,40,12 Wks,05.27.95
Yellow,SCANDAL,03.26.16,9,12 Wks,03.26.16
Koisuru Universe (EP),SCANDAL,11.11.17,13,12 Wks,11.11.17
Honey,SCANDAL,02.24.18,5,12 Wks,02.24.18
Hero,Chad Kroeger Featuring Josey Scott,05.04.02,1,2 WKS,06.15.02
BURNING DOWN ONE SIDE,Robert Plant,07.10.82,3,12 Wks,08.14.82
IN THE MOOD,Robert Plant,07.30.83,4,12 Wks,10.01.83
BIG LOG,Robert Plant,07.23.83,6,12 Wks,10.08.83
Ship Of Fools,Robert Plant,03.05.88,3,12 Wks,06.11.88
OTHER ARMS,Robert Plant,07.23.83,1,1 WKS,08.13.83
Shine It All Around,Robert Plant And The Strange Sensation,03.26.05,18,12 Wks,05.07.05
29 Palms,Robert Plant,06.26.93,4,12 Wks,07.31.93
Shining In The Light,Jimmy Page & Robert Plant,05.30.98,6,12 Wks,07.25.98
FAR POST,Robert Plant,10.30.82,12,12 Wks,01.22.83
WORSE THAN DETROIT,Robert Plant,07.10.82,10,12 Wks,09.18.82
Tie Dye On The Highway,Robert Plant,03.31.90,6,12 Wks,05.19.90
Tall Cool One,Robert Plant,03.05.88,1,4 WKS,04.09.88
Thank You,Jimmy Page & Robert Plant,12.17.94,8,12 Wks,02.04.95
Gallows Pole,Jimmy Page & Robert Plant,10.22.94,2,12 Wks,10.29.94
PLEDGE PIN,Robert Plant,07.17.82,11,12 Wks,08.14.82
Little By Little,Robert Plant,05.18.85,1,2 WKS,06.01.85
Sixes And Sevens,Robert Plant,06.08.85,18,12 Wks,07.06.85
Most High,Jimmy Page & Robert Plant,04.18.98,1,2 WKS,05.09.98
Your Ma Said You Cried In Your ...,Robert Plant,06.09.90,8,12 Wks,07.14.90
Hurting Kind,Robert Plant,03.17.90,1,6 WKS,03.24.90
Dance On My Own,Robert Plant,06.25.88,10,12 Wks,08.13.88
Heaven Knows,Robert Plant,02.13.88,1,6 WKS,02.20.88
"Darkness, Darkness",Robert Plant,06.22.02,27,12 Wks,08.03.02
Calling To You,Robert Plant,05.15.93,3,12 Wks,05.22.93
I Believe,Robert Plant,10.09.93,9,12 Wks,10.30.93
Little Sister,Rockpile With Robert Plant,04.18.81,8,12 Wks,05.16.81
I Cried,Robert Plant,04.07.90,39,12 Wks,04.21.90
Walking Towards Paradise,Robert Plant,12.24.88,39,12 Wks,01.14.89
Big Love,Robert Plant,04.07.90,35,12 Wks,04.14.90
SLOW DANCER,Robert Plant,07.17.82,19,12 Wks,07.31.82
The Way I Feel,Robert Plant,11.12.88,46,12 Wks,11.19.88
SSS & Q,Robert Plant,08.18.90,47,12 Wks,08.25.90
HORIZONTAL DEPARTURE,Robert Plant,10.15.83,44,12 Wks,10.15.83
Keep Talking,Pink Floyd,04.02.94,1,6 WKS,04.09.94
On The Turning Away,Pink Floyd,09.26.87,1,1 WKS,01.16.88
Take It Back,Pink Floyd,04.16.94,4,12 Wks,06.25.94
What Do You Want From Me,Pink Floyd,04.16.94,16,12 Wks,05.07.94
NOT NOW JOHN,Pink Floyd,04.02.83,7,12 Wks,05.07.83
One Slip,Pink Floyd,09.26.87,5,12 Wks,10.31.87
High Hopes,Pink Floyd,08.27.94,7,12 Wks,10.08.94
Learning To Fly,Pink Floyd,09.05.87,1,3 WKS,09.26.87
Dogs Of War,Pink Floyd,09.26.87,30,12 Wks,06.04.88
Lost For Words,Pink Floyd,12.03.94,21,12 Wks,01.07.95
THE HERO's RETURN,Pink Floyd,04.30.83,31,12 Wks,04.30.83
YOUR POSSIBLE PASTS,Pink Floyd,04.02.83,8,12 Wks,04.09.83
What Do You Want From Me (Live),Pink Floyd,06.17.95,13,12 Wks,07.15.95
Money,Pink Floyd,12.12.81,37,12 Wks,01.16.82
Young Lust (Live),Pink Floyd,04.08.00,15,12 Wks,04.22.00
Comfortably Numb,Pink Floyd,12.03.88,24,12 Wks,12.17.88
Sorrow,Pink Floyd,03.05.88,36,12 Wks,03.12.88
Time,Pink Floyd,12.10.88,34,12 Wks,12.24.88
Another Brick In The Wall (Part II),Pink Floyd,12.10.88,42,12 Wks,12.17.88
Learning To Fly,Pink Floyd,12.17.88,45,12 Wks,12.17.88
Land Of Confusion,Genesis,06.28.86,11,12 Wks,11.22.86
I Can't Dance,Genesis,12.07.91,2,12 Wks,02.08.92
Abacab,Genesis,10.17.81,4,12 Wks,12.12.81
IT's GONNA GET BETTER,Genesis,10.08.83,16,12 Wks,10.22.83
JUST A JOB TO DO,Genesis,10.29.83,10,12 Wks,11.12.83
Jesus He Knows Me,Genesis,12.21.91,24,12 Wks,04.04.92
In Too Deep,Genesis,07.05.86,25,12 Wks,05.30.87
Throwing It All Away,Genesis,06.21.86,1,3 WKS,08.23.86
THAT's ALL,Genesis,11.05.83,2,12 Wks,01.21.84
No Reply At All,Genesis,09.26.81,2,12 Wks,11.21.81
ILLEGAL ALIEN,Genesis,11.05.83,21,12 Wks,02.25.84
PAPERLATE,Genesis,06.12.82,2,12 Wks,07.17.82
No Son Of Mine,Genesis,11.02.91,3,12 Wks,11.09.91
"Tonight, Tonight, Tonight",Genesis,07.26.86,9,12 Wks,02.21.87
MAMA,Genesis,09.17.83,5,12 Wks,10.08.83
Invisible Touch,Genesis,05.31.86,1,3 WKS,06.14.86
HOME BY THE SEA,Genesis,11.05.83,24,12 Wks,02.04.84
The Last Domino,Genesis,06.21.86,29,12 Wks,06.28.86
Driving The Last Spike,Genesis,06.13.92,25,12 Wks,07.18.92
Man On The Corner,Genesis,03.27.82,14,12 Wks,05.01.82
Congo,Genesis,08.23.97,25,12 Wks,09.06.97
YOU MIGHT RECALL,Genesis,07.03.82,40,12 Wks,10.23.82
TAKING IT ALL TOO HARD,Genesis,02.25.84,41,12 Wks,03.03.84
Anything She Does,Genesis,06.28.86,40,12 Wks,07.12.86
Beds Are Burning,Midnight Oil,02.20.88,6,12 Wks,05.07.88
The Dead Heart,Midnight Oil,06.04.88,11,12 Wks,07.30.88
Blue Sky Mine,Midnight Oil,02.17.90,1,1 WKS,03.17.90
Forgotten Years,Midnight Oil,04.21.90,11,12 Wks,06.09.90
Truganini,Midnight Oil,04.24.93,10,12 Wks,05.29.93
King Of The Mountain,Midnight Oil,07.21.90,20,12 Wks,08.11.90
Dreamworld,Midnight Oil,10.15.88,37,12 Wks,11.05.88
Blaze Of Glory,Jon Bon Jovi,07.21.90,1,1 WKS,09.08.90
"Miracle (From ""Young Guns II"")",Jon Bon Jovi,10.06.90,20,12 Wks,11.10.90
Levon,Jon Bon Jovi,01.04.92,27,12 Wks,01.25.92
Hell In A Bucket,Grateful Dead,07.25.87,3,12 Wks,09.05.87
Touch Of Grey,Grateful Dead,07.04.87,1,3 WKS,08.01.87
Throwing Stones (Ashes Ashes),Grateful Dead,12.05.87,15,12 Wks,01.09.88
Foolish Heart,Grateful Dead,10.28.89,8,12 Wks,12.02.89
Just A Little Light,Grateful Dead,01.13.90,41,12 Wks,02.03.90
When Push Comes To Shove,Grateful Dead,08.15.87,45,12 Wks,08.15.87
West LA Fadeaway,Grateful Dead,08.08.87,40,12 Wks,08.22.87
Dire Wolf,Grateful Dead,05.02.81,37,12 Wks,05.09.81
Ripple,Grateful Dead,04.18.81,50,12 Wks,04.25.81
In The Air Tonight,Phil Collins,03.21.81,2,12 Wks,05.30.81
Inside Out,Phil Collins,03.30.85,9,12 Wks,04.27.85
I Wish It Would Rain Down,Phil Collins,12.30.89,5,12 Wks,02.10.90
I Missed Again,Phil Collins,03.21.81,8,12 Wks,05.02.81
YOU CAN't HURRY LOVE,Phil Collins,11.13.82,24,12 Wks,11.13.82
Against All Odds (Take A Look At Me Now),Phil Collins,02.25.84,1,1 WKS,04.07.84
One More Night,Phil Collins,02.09.85,4,12 Wks,03.09.85
Easy Lover,Philip Bailey With Phil Collins,12.01.84,5,12 Wks,01.19.85
I Don't Care Anymore,Phil Collins,12.04.82,3,12 Wks,12.18.82
Another Day In Paradise,Phil Collins,11.04.89,7,12 Wks,12.02.89
Sussudio,Phil Collins,05.04.85,10,12 Wks,06.01.85
LIKE CHINA,Phil Collins,12.04.82,17,12 Wks,12.18.82
Take Me Home,Phil Collins,03.15.86,12,12 Wks,04.05.86
Don't Lose My Number,Phil Collins,04.06.85,33,12 Wks,04.20.85
THROUGH THESE WALLS,Phil Collins,03.19.83,34,12 Wks,03.26.83
Something Happened On The Way To Heaven,Phil Collins,08.11.90,34,12 Wks,09.08.90
Both Sides Of The Story,Phil Collins,11.06.93,24,12 Wks,11.20.93
The Man With The Horn,Phil Collins,02.23.85,38,12 Wks,03.02.85
I Don't Want To Know,Phil Collins,04.13.85,42,12 Wks,04.13.85
"DO YOU KNOW, DO YOU CARE",Phil Collins,11.06.82,41,12 Wks,11.06.82
Do You Remember?,Phil Collins,05.19.90,49,12 Wks,05.19.90
Behind The Lines,Phil Collins,04.04.81,58,12 Wks,04.04.81
1979,The Smashing Pumpkins,12.09.95,1,2 WKS,03.02.96
Bullet With Butterfly Wings,The Smashing Pumpkins,10.21.95,4,12 Wks,12.09.95
Disarm,The Smashing Pumpkins,03.19.94,5,12 Wks,06.04.94
Beguiled,The Smashing Pumpkins,10.08.22,7,12 Wks,01.21.23
Tarantula,The Smashing Pumpkins,06.09.07,6,12 Wks,07.28.07
"Tonight, Tonight",The Smashing Pumpkins,06.15.96,4,12 Wks,08.03.96
Muzzle,The Smashing Pumpkins,10.05.96,10,12 Wks,11.30.96
Zero,The Smashing Pumpkins,03.16.96,15,12 Wks,05.18.96
Ava Adore,The Smashing Pumpkins,05.23.98,8,12 Wks,07.11.98
Stand Inside Your Love,The Smashing Pumpkins,03.04.00,11,12 Wks,04.08.00
Cherub Rock,The Smashing Pumpkins,08.28.93,23,12 Wks,10.09.93
Empires,The Smashing Pumpkins,05.20.23,24,12 Wks,07.01.23
G.L.O.W.,The Smashing Pumpkins,10.18.08,25,12 Wks,11.29.08
The End Is The Beginning Is The End,The Smashing Pumpkins,06.07.97,12,12 Wks,06.28.97
The Everlasting Gaze,The Smashing Pumpkins,01.01.00,14,12 Wks,01.29.00
Thirty-Three,The Smashing Pumpkins,02.01.97,18,12 Wks,02.22.97
Solara,Smashing Pumpkins,06.30.18,26,12 Wks,07.28.18
One And All,The Smashing Pumpkins,12.06.14,34,12 Wks,12.06.14
Rocket,The Smashing Pumpkins,07.16.94,28,12 Wks,08.20.94
Today,The Smashing Pumpkins,01.22.94,28,12 Wks,02.05.94
That's The Way (My Love Is),The Smashing Pumpkins,10.06.07,32,12 Wks,10.27.07
Perfect,The Smashing Pumpkins,08.29.98,33,12 Wks,09.19.98
I'll Be You,The Replacements,02.04.89,1,3 WKS,03.25.89
Back To Back,The Replacements,05.20.89,43,12 Wks,06.03.89
Achin' To Be,The Replacements,08.05.89,37,12 Wks,08.26.89
Wind Of Change,Scorpions,04.06.91,2,12 Wks,06.01.91
Send Me An Angel,Scorpions,08.31.91,8,12 Wks,10.19.91
Rock You Like A Hurricane,Scorpions,03.03.84,5,12 Wks,03.17.84
NO ONE LIKE YOU,Scorpions,04.03.82,1,1 WKS,05.29.82
I Can't Explain,Scorpions,11.18.89,5,12 Wks,01.20.90
"Tease Me, Please Me",Scorpions,11.03.90,8,12 Wks,11.17.90
Rhythm Of Love,Scorpions,04.16.88,6,12 Wks,06.04.88
Believe In Love,Scorpions,07.02.88,12,12 Wks,08.20.88
Don't Believe Her,Scorpions,01.19.91,13,12 Wks,02.23.91
Still Loving You,Scorpions,06.30.84,36,12 Wks,08.11.84
Mysterious,Scorpions,07.10.99,26,12 Wks,08.21.99
Alien Nation,Scorpions,09.11.93,10,12 Wks,09.25.93
Woman,Scorpions,11.27.93,15,12 Wks,12.25.93
Big City Nights,Scorpions,04.14.84,14,12 Wks,05.19.84
Under The Same Sun,Scorpions,01.29.94,16,12 Wks,02.19.94
Wild Child,Scorpions,05.25.96,19,12 Wks,06.22.96
"Hit Between The Eyes (From ""Freejack"")",Scorpions,01.25.92,24,12 Wks,02.08.92
CAN't LIVE WITHOUT YOU,Scorpions,06.19.82,47,12 Wks,06.19.82
I'm Leaving You,Scorpions,06.23.84,56,12 Wks,06.30.84
Don't Stop Believin',Journey,08.15.81,8,12 Wks,09.26.81
Separate Ways (Worlds Apart),Journey,02.05.83,1,4 WKS,02.19.83
Who's Crying Now,Journey,08.01.81,4,12 Wks,08.15.81
Stone In Love,Journey,08.01.81,13,12 Wks,08.29.81
Girl Can't Help It,Journey,05.10.86,9,12 Wks,05.24.86
Only The Young,Journey,01.26.85,3,12 Wks,02.09.85
Ask The Lonely,Journey,12.03.83,3,12 Wks,01.21.84
Message Of Love,Journey,10.05.96,18,12 Wks,10.19.96
Open Arms,Journey,01.16.82,35,12 Wks,01.30.82
The Party's Over (Hopelessly In Love),Journey,03.21.81,2,12 Wks,04.04.81
Suzanne,Journey,06.14.86,11,12 Wks,07.05.86
Be Good To Yourself,Journey,04.12.86,2,12 Wks,05.03.86
I'll Be Alright Without You,Journey,01.10.87,26,12 Wks,01.24.87
Can't Tame The Lion,Journey,02.08.97,33,12 Wks,02.22.97
Raised On Radio,Journey,05.10.86,27,12 Wks,05.17.86
Natural Thing,Journey,01.02.93,32,12 Wks,01.23.93
ONLY SOLUTIONS,Journey,08.14.82,22,12 Wks,08.28.82
AFTER THE FALL,Journey,02.26.83,30,12 Wks,02.26.83
STILL THEY RIDE,Journey,07.03.82,47,12 Wks,07.03.82
Dixie Highway,Journey,03.21.81,30,12 Wks,03.21.81
Reapers,Muse,12.12.15,2,12 Wks,04.02.16
Thought Contagion,Muse,03.03.18,9,12 Wks,06.16.18
Uprising,Muse,12.19.09,28,12 Wks,03.20.10
Dead Inside,Muse,04.11.15,10,12 Wks,06.27.15
Won't Stand Down,Muse,01.22.22,1,1 WKS,05.07.22
Pressure,Muse,11.17.18,19,12 Wks,02.02.19
Dig Down,Muse,06.10.17,27,12 Wks,08.05.17
Kill Or Be Killed,Muse,02.25.23,14,12 Wks,05.06.23
Will Of The People,Muse,09.03.22,23,12 Wks,10.15.22
Psycho,Muse,05.02.15,29,12 Wks,07.04.15
Madness,Muse,01.12.13,34,12 Wks,02.02.13
Mercy,Muse,08.29.15,23,12 Wks,10.03.15
Panic Station,Muse,05.18.13,40,12 Wks,05.18.13
Hurts So Good,John Cougar,05.01.82,1,1 WKS,06.19.82
Crumblin' Down,John Cougar Mellencamp,10.15.83,2,12 Wks,12.03.83
The Authority Song,John Cougar Mellencamp,02.18.84,15,12 Wks,05.12.84
Jack & Diane,John Cougar,06.26.82,3,12 Wks,09.11.82
Thundering Hearts,John Cougar,09.25.82,36,12 Wks,09.25.82
Serious Business,John Cougar Mellencamp,01.28.84,34,12 Wks,01.28.84
Ain't Even Done With The Night,John Cougar,03.21.81,44,12 Wks,03.28.81
867-5309/JENNY,Tommy Tutone,11.28.81,1,3 WKS,04.03.82
Name,Goo Goo Dolls,09.09.95,1,5 WKS,11.04.95
Iris,Goo Goo Dolls,05.02.98,8,12 Wks,08.15.98
Slide,Goo Goo Dolls,09.26.98,4,12 Wks,12.19.98
Long Way Down,Goo Goo Dolls,06.01.96,7,12 Wks,07.27.96
Naked,Goo Goo Dolls,01.27.96,8,12 Wks,03.23.96
Lazy Eye,Goo Goo Dolls,07.26.97,9,12 Wks,09.13.97
Dizzy,Goo Goo Dolls,03.06.99,13,12 Wks,05.08.99
Only One,Goo Goo Dolls,04.08.95,21,12 Wks,05.27.95
Here Is Gone,Goo Goo Dolls,04.06.02,29,12 Wks,05.18.02
Black Balloon,Goo Goo Dolls,07.17.99,28,12 Wks,08.21.99
Flat Top,Goo Goo Dolls,08.05.95,38,12 Wks,08.12.95
Cover Me,Bruce Springsteen,06.23.84,2,12 Wks,09.08.84
Born In The USA,Bruce Springsteen,06.23.84,8,12 Wks,12.22.84
Tunnel Of Love,Bruce Springsteen,10.17.87,1,4 WKS,11.21.87
Dancing In The Dark,Bruce Springsteen,05.26.84,1,6 WKS,06.09.84
One Step Up,Bruce Springsteen,12.12.87,2,12 Wks,01.30.88
No Surrender,Bruce Springsteen,06.16.84,29,12 Wks,08.04.84
Fire,Bruce Springsteen,11.22.86,14,12 Wks,01.10.87
Glory Days,Bruce Springsteen,05.25.85,3,12 Wks,06.15.85
I'm On Fire,Bruce Springsteen,02.16.85,4,12 Wks,03.23.85
Pink Cadillac,Bruce Springsteen,06.02.84,27,12 Wks,06.09.84
Spare Parts,Bruce Springsteen,10.17.87,28,12 Wks,10.17.87
All That Heaven Will Allow,Bruce Springsteen,02.27.88,5,12 Wks,04.09.88
The Rising,Bruce Springsteen,07.20.02,24,12 Wks,08.10.02
Trapped,Bruce Springsteen,04.13.85,1,3 WKS,05.11.85
ATLANTIC CITY,Bruce Springsteen,10.09.82,10,12 Wks,10.30.82
OPEN ALL NIGHT,Bruce Springsteen,10.09.82,22,12 Wks,10.16.82
War,Bruce Springsteen,11.22.86,4,12 Wks,12.13.86
Human Touch,Bruce Springsteen,03.21.92,1,3 WKS,03.21.92
57 Channels (And Nothin' On),Bruce Springsteen,04.11.92,6,12 Wks,07.04.92
Because The Night,Bruce Springsteen,12.06.86,22,12 Wks,01.10.87
I'm Goin' Down,Bruce Springsteen,09.07.85,9,12 Wks,09.28.85
My Hometown,Bruce Springsteen,12.14.85,6,12 Wks,01.11.86
Bobby Jean,Bruce Springsteen,06.23.84,36,12 Wks,08.04.84
Brilliant Disguise,Bruce Springsteen,10.03.87,1,1 WKS,10.17.87
Stand On It,Bruce Springsteen,07.06.85,32,12 Wks,08.03.85
Roll Of The Dice,Bruce Springsteen,04.25.92,6,12 Wks,05.23.92
Murder Incorporated,Bruce Springsteen,03.04.95,14,12 Wks,04.01.95
Streets Of Philadelphia,Bruce Springsteen,02.12.94,25,12 Wks,03.05.94
Raise Your Hand,Bruce Springsteen,12.20.86,44,12 Wks,12.27.86
Chimes Of Freedom,Bruce Springsteen,09.17.88,16,12 Wks,10.01.88
Better Days,Bruce Springsteen,03.21.92,2,12 Wks,03.21.92
I Wanna Be With You,Bruce Springsteen,12.05.98,33,12 Wks,12.12.98
Leap Of Faith,Bruce Springsteen,08.29.92,28,12 Wks,09.05.92
Roulette,Bruce Springsteen,04.16.88,45,12 Wks,04.23.88
All Or Nothin' At All,Bruce Springsteen,04.11.92,47,12 Wks,04.11.92
Fade Away,Bruce Springsteen,03.21.81,14,12 Wks,03.21.81
JOHNNY '99,Bruce Springsteen,10.09.82,50,12 Wks,10.09.82
Cadillac Ranch,Bruce Springsteen,03.28.81,48,12 Wks,03.28.81
I'm A Rocker,Bruce Springsteen,03.21.81,42,12 Wks,03.21.81
Point Blank,Bruce Springsteen,04.04.81,20,12 Wks,04.04.81
Ramrod,Bruce Springsteen,04.11.81,30,12 Wks,04.11.81
Be True,Bruce Springsteen,03.28.81,42,12 Wks,03.28.81
Come As You Are,Peter Wolf,02.28.87,1,1 WKS,03.28.87
Lights Out,Peter Wolf,07.14.84,6,12 Wks,08.04.84
I Need You Tonight,Peter Wolf,10.20.84,22,12 Wks,11.10.84
Can't Get Started,Peter Wolf,04.18.87,16,12 Wks,05.16.87
Crazy,Peter Wolf,08.18.84,26,12 Wks,09.22.84
99 Worlds,Peter Wolf,02.24.90,9,12 Wks,03.17.90
